Company,Product,Memory,Storage,Processor,OS,Display,Price
ACER,A315-21-2109,4GB,1TB,AMD E2,Windows 10,15.6 inches,₹17990
ACER,A315-21-43WX,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A4 (7th Gen),Linux,15.6 inches,₹16990
ACER,A315-21-43WX,4GB,1TB,AMD A4 APU,Windows 10,15.6 inches,₹16990
ACER,A315-33,2GB,500GB,Intel Celeron Dual Core,Windows 10,15.6 inches,₹15990
ACER,A315-42,4GB,1TB,Athlon 300U,Windows 10,15.6 inches,₹20990
ACER,Aspire,2 GB DDR3,500 GB HDD Hard Disk,Intel Celeron Dual Core,Linux,15.6 inches,₹15990
ACER,Aspire,4 GB DDR3,500 GB HDD Hard Disk,Intel Pentium Quad Core,Linux,15.6 inches,₹19490
ACER,Aspire 3 A315-21 (UN.GNVSI.009),4 GB,1 TB  HDD,AMD Dual Core,Windows,15.6 inches,₹19790
ACER,Aspire 3 A315-33 (NX.GY3SI.004),2 GB,500 GB  HDD,Intel Celeron Dual Core,Linux,15.6 inches,₹15990
ACER,Aspire A315-21-2109 (UN.GNVSI.001),4 GB,1 TB  HDD,AMD Dual Core,Windows,15.6 inches,₹17990
ACER,Aspire A315-31 (NX.GNTSI.003),2 GB,500 GB  HDD,Intel Celeron Dual Core,Linux,15.6 inches,₹18696
ACER,Aspire ES1-523 (NX.GKYSI.001),4 GB,1 TB  HDD,AMD Dual Core,Linux,15.6 inches,₹17990
ACER,Aspire ES1-533 (NX.GFTSI.021),2 GB,500 GB  HDD,Intel Celeron Dual Core,Linux,15.6 inches,₹18990
ACER,Aspire One 14 (NX.Y52SI.005),4 GB,500 GB  HDD,Intel Pentium Quad Core,Linux,14.0 inches,₹18460
ACER,Aspire One 14 (UN.768SI.001),2 GB,500 GB  HDD,Intel Celeron Dual Core,DOS,14 inches,₹17990
ACER,Aspire One S1003 (NT.LCQSI.001),2 GB,32 GB SSD,Intel Atom Quad Core,Windows,10.1 inches,₹15705
ACER,Aspire One S1003 (NT.LCQSI.001),2 GB DDR3,32 GB SSD,Atom Quad Core x5,Windows 10,10.1 inches,₹15105
ACER,Chromebook 311 C733,4GB,32GB eMMC,Intel Celeron N4020,Chrome OS,11.6 inches,₹18490
ACER,S1003,2GB,32GB,Intel Atom X5 (6th Gen),Windows 10,10.1 inches,₹15105
ASUS,C523NA-BR0476 Chromebook,4GB,64GB eMMC,Celeron N3350,Chrome OS,15.6 inches,₹19000
ASUS,Chromebook C223NA-GJ0074,4 GB,32 GB SSD,Intel Celeron Dual Core,Google Chrome,11.6 inches,₹16990
ASUS,Chromebook C223NA-GJ0074,4 GB LPDDR4X,32 GB SSD,Celeron Dual Core,Google Chrome,11.6 inches,₹16990
ASUS,Chromebook C423NA-BV0523,4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,14 inches,₹16890
ASUS,Chromebook C423NA-BV0523,4 GB LPDDR4X,64 GB SSD,Celeron Dual Core,Google Chrome,14 inches,₹16890
ASUS,Chromebook C423NA-BZ0522,4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,14 inches,₹19890
ASUS,Chromebook C423NA-BZ0522,4 GB LPDDR4X,64 GB SSD,Celeron Dual Core,Google Chrome,14 inches,₹19890
ASUS,Chromebook C523NA-BR0300,4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,15.6 inches,₹18349
ASUS,Chromebook C523NA-BR0300,4 GB LPDDR4X,64 GB SSD,Celeron Dual Core,Google Chrome,15.6 inches,₹18349
ASUS,Chromebook C523NA-BR0476,4 GB LPDDR4,64 GB eMMC,Intel Celeron Dual Core,Google Chrome,15.6 inches,₹19000
ASUS,Chromebook CX1101CMA-GJ0007,4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,11.6 inches,₹18890
ASUS,Chromebook CX1101CMA-GJ0007,4 GB LPDDR4,64 GB SSD,Celeron Dual Core,Google Chrome,11.6 inches,₹18890
ASUS,Chromebook Flip C214MA-BU0452,4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,11.6 inches,₹18890
ASUS,Chromebook Flip C214MA-BU0452,4 GB LPDDR4X,64 GB SSD,Celeron Dual Core,Google Chrome,11.6 inches,₹18890
ASUS,Chromebook Flip C214MA-BU0704,4 GB LPDDR4,32 GB eMMC,Intel Celeron Dual Core,Google Chrome,11.6 inches,₹16890
ASUS,Chromebook Flip C214MA-BU0704,4GB,32GB eMMC,Celeron N4020,Chrome OS,11.6 inches,₹15990
ASUS,CX1101CMA-GJ0007 Chromebook,4GB,64GB eMMC,Celeron Dual Core,Chrome OS,11.6 inches,₹19990
ASUS,E202SA-FD111D,2 GB DDR3,500 GB HDD Hard Disk,Intel Celeron Dual Core,DOS,11.6 inches,₹16990
ASUS,E203MAH-FD005T,4GB,500GB,Intel Celeron Dual Core,Windows 10,11.6 inches,₹19990
ASUS,EeeBook,2 GB DDR3,HDD Hard Disk,Intel Celeron Dual Core,Windows 10 Home,14 inches,₹15990
ASUS,EeeBook 12 E210MA-GJ012W,4 GB DDR4,64 GB eMMC,Intel Celeron Dual Core,Windows 11,11.6 inches,₹18890
ASUS,EeeBook E210MA-GJ012T,4 GB,64 GB SSD,Intel Celeron Dual Core,Windows 10,11.6 inches,₹18790
ASUS,EeeBook E210MA-GJ012T,4 GB DDR4,64 GB SSD,Celeron Dual Core,Windows 10,11.6 inches,₹18790
ASUS,EeeBook E210MA-GJ012W,4GB,64GB eMMC,Celeron Dual Core,Win11 Home,11.6 inches,₹18990
ASUS,EeeBook E402WA-GA001T,4 GB,500 GB  HDD,AMD Quad Core,Windows,14 inches,₹19990
ASUS,VivoBook,2 GB DDR4,500 GB HDD Hard Disk,Intel Celeron Dual Core (8th Gen),Windows 10 Home Basic,11.6 inches,₹18410
ASUS,VivoBook,4 GB DDR3,1 TB HDD Hard Disk,AMD APU Dual Core E1,Windows 10 Home,15.6 inches,₹19990
ASUS,VivoBook,4 GB DDR3,256 GB SSD Hard Disk,AMD APU Dual Core E2,Windows 10 Home,14 inches,₹19990
ASUS,VivoBook,4 GB DDR3,500 GB HDD Hard Disk,Intel Celeron Dual Core (7th Gen),Windows 10 Home,15.6 inches,₹18875
ASUS,VivoBook,4 GB DDR3,500 GB HDD Hard Disk,Intel Celeron Dual Core (7th Gen),Windows 10 Home,15.6 inches,₹19999
ASUS,VivoBook,4 GB DDR3,500 GB HDD Hard Disk,Intel Pentium Quad Core (7th Gen),Windows 10 Home,15.6 inches,₹19999
ASUS,VivoBook 15 X540NA-GQ285T,4 GB,1 TB  HDD,Intel Celeron Dual Core,Windows 10,15.6 inches,₹19990
ASUS,Vivobook X540YA-XO940T,4 GB,1 TB  HDD,AMD Dual Core,Windows,15.6 inches,₹19990
ASUS,X540YA-XO547T,4 GB,500 GB  HDD,AMD Dual Core,Windows,15.6 inches,₹17990
ASUS,X540YA-XO940T,4GB,1TB,AMD E1,Windows 10,15.6 inches,₹19990
ASUS,X543MA-GQ497T,4 GB DDR4,1 TB HDD Hard Disk,Intel Celeron Dual Core,Windows 10 Home,15.6 inches,₹19990
AVITA,Cosmos NS12T5IN025P,4 GB,64 GB SSD,Intel Celeron Dual Core,Windows 10,11.6 inches,₹17890
AVITA,Magus Lite NS12T5IN005P,4 GB DDR3,64 GB eMMC,Intel Celeron Dual Core,Windows 10,12.2 inches,₹16990
AVITA,NS12T5IN001P,4 GB,64 GB SSD,Intel Celeron Dual Core,Windows 10,12.5 inches,₹19999
AVITA,NS12T5IN001P,4 GB DDR3,64 GB SSD,Celeron Dual Core,Windows 10,12.5 inches,₹19999
AVITA,NS12T5IN001P,4GB,64GB,Intel Celeron Dual Core,Windows 10,12.5 inches,₹19999
AVITA,Pura NS14A6ING431,4GB,128GB SSD,APU A6,Win10,14 inches,₹17990
AVITA,Satus Ultimus S111,4GB,128GB SSD,Celeron N4020,Win11 Home,14.1 inches,₹18990
COCONICS,Enabler C1C11,4 GB,128 GB SSD,Intel Celeron Dual Core,Ubuntu,11.6 inches,₹18463
DELL,Inspiron 15 3565 (A561205UIN9),4 GB,500 GB  HDD,AMD Dual Core,Linux,15.6 inches,₹19990
HP,14q-cy0005au (7QG85PA),4 GB,256 GB SSD,AMD Dual Core,Windows,14 inches,₹19701
HP,15-bg003au (Z1D90PA),4 GB,500 GB  HDD,AMD Quad Core,DOS,15.6 inches,₹18990
HP,15-bw098au (2FK35PA),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹18990
HP,15q-by009au (4NE20PA),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹19490
HP,245,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A6,DOS,14 inches,₹17990
HP,245 G7,4GB,1TB,AMD A6 APU,Windows 10,14 inches,₹20900
HP,Chromebook 11A-NA0002MU (2E4N0PA),4 GB,64 GB SSD,MediaTek Octa-core,Google Chrome,11.6 inches,₹18899
HP,Chromebook 14A G5 (7QU82PA),4 GB DDR4,32 GB eMMC,AMD Dual-Core A4 APU,Google Chrome,14 inches,₹18500
HP,Chromebook 14a-na0003TU (2Z332PA),4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,14 inches,₹19990
IBALL,Compbook,2 GB DDR3,HDD Hard Disk,Intel Atom,Windows 10 Home,11.6 inches,₹11900
IBALL,Compbook,3 GB DDR3,HDD Hard Disk,Intel Celeron Dual Core (7th Gen),Windows 10 Home,14 inches,₹11450
IBALL,CompBook i360,2GB,32GB,Intel Atom,Windows 10,11.6 inches,₹12499
IBALL,CompBook M500,4GB,32GB,Intel Celeron Dual Core,Windows 10,14 inches,₹18999
IBALL,Compbook Marvel 6,3 GB,32 GB SSD,Intel Celeron Dual Core,Windows 10,14 inches,₹16900
IBALL,Compbook Marvel 6,3GB,32GB,Intel Celeron Dual Core,Windows 8.1,14 inches,₹13289
IBALL,CompBook Netizen,4 GB,128 GB SSD,Intel Celeron Dual Core,Windows 10,14 inches,₹15000
IBALL,CompBook Netizen,4GB,128GB,Intel Celeron Dual Core,Windows 10,14 inches,₹15000
IBALL,CompBook Premio v3.0,4GB,32GB,Intel Pentium Dual Core,Windows 10,14 inches,₹13990
I-LIFE,ZED ZED Book Grin,2GB,32GB,Atom Quad Core,Win10,10.1 inches,₹9999
JIO,JioBook NB2112QB Netbook,2GB,32GB eMMC,Qualcomm Snapdragon 665,JioOS,11.6 inches,₹15799
LAVA,Helium 12,2 GB DDR3,32 GB SSD,Atom Quad Core x5,Windows 10,12.5 inches,₹12990
LAVA,Helium 12,2GB,32GB,Intel Atom X5 (6th Gen),Windows 10,12.5 inches,₹12990
LAVA,Helium 14,2 GB DDR3,32 GB SSD,Atom Quad Core x5,Windows 10,14.1 inches,₹14999
LAVA,Helium 14,2GB,32GB,Intel Atom X5 (6th Gen),Windows 10,14.1 inches,₹14999
LENOVO,130,4GB,1TB,AMD A6 APU,Windows 10,15.6 inches,₹18990
LENOVO,E41-55,8GB,256 SSD,Athlon Pro 3045B,Win11,14 inches,₹18990
LENOVO,E41-55 82FJ009JIH,4GB,1TB HDD,Athlon Pro 3045B,DOS,14 inches,₹18730
LENOVO,E41-55 82FJ00AGIH,4GB,256GB SSD,Athlon Gold 3150U,DOS,14 inches,₹18990
LENOVO,E41-55 82FJ00ALIH,4GB,1TB HDD,Athlon 3150U,DOS,14 inches,₹18990
LENOVO,E41-55 82FJ00B5IH,4GB,1TB HDD,Athlon 3050U,DOS,14 inches,₹18990
LENOVO,E41-55 82FJ00B5IH,4GB,256GB SSD,Athlon 3050U,DOS,14 inches,₹18990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A6,DOS,15.6 inches,₹17990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A9,Windows 10 Home,15.6 inches,₹19990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core E2 (7th Gen),DOS,15.6 inches,₹18890
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Quad Core A4 (7th Gen),DOS,15.6 inches,₹18990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Quad Core A6 (7th Gen),Windows 10 Home,15.6 inches,₹17990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,Intel Celeron Dual Core,Windows 10 Home,15.6 inches,₹19990
LENOVO,Ideapad,4 GB DDR4,1 TB HDD Hard Disk,Intel Core i3 (7th Gen),Windows 10 Home,15.6 inches,₹19494
LENOVO,Ideapad,8 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A9 (7th Gen),DOS,15.6 inches,₹20000
LENOVO,Ideapad 130 (81H5003VIN),4 GB,1 TB  HDD,AMD Dual Core,Windows,15.6 inches,₹17990
LENOVO,IdeaPad 3 CB 11IGL05 82BA001PHA,4GB,64GB eMMC,Celeron Dual Core,Chrome OS,11.6 inches,₹19990
LENOVO,IdeaPad 3 CB 14IGL05 82C1002EHA,4GB,64GB eMMC,Celeron Dual Core,Chrome OS,14 inches,₹18700
LENOVO,Ideapad 320E (80XV00PJIN),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹18890
LENOVO,Ideapad 330 (81DE02YMIN),4 GB,1 TB  HDD,Intel Celeron Dual Core,Windows 10,15.6 inches,₹19990
LENOVO,Ideapad 330-15AST (81D60079IN),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹18990
LENOVO,Ideapad S145 (81N300F2IN),4 GB,1 TB  HDD,AMD Dual Core,DOS,15.6 inches,₹17990
LENOVO,Ideapad Slim (81VS0067IN),4 GB,64 GB SSD,AMD Dual Core,Windows,14 inches,₹19490
LENOVO,Ideapad Slim 3i (82C1002EHA),4 GB,64 GB SSD,Intel Celeron Dual Core,Google Chrome,14 inches,₹18736
LENOVO,Ideapad Slim 3i (82C1002EHA),4 GB LPDDR4,64 GB SSD,Celeron Dual Core,Google Chrome,14 inches,₹18736
LENOVO,V110-15AST (80TD0001US),4 GB,500 GB  HDD,AMD Dual Core,Windows,15.6 inches,₹19291
LENOVO,V110-15AST (80TD0001US),4 GB DDR4,500 GB,AMD Dual-Core A6,Windows 10,15.6 inches,₹19291
LENOVO,V145-15AST,4 GB DDR4,500 GB HDD Hard Disk,AMD APU Dual Core A6,Windows 10 Home,15.6 inches,₹17000
LENOVO,V145-34IH,4 GB DDR4,1 TB HDD Hard Disk,AMD APU Dual Core A6 (7th Gen),DOS,15.6 inches,₹16695
LENOVO,V15-IGL 82C3A008IH,4GB,256GB SSD,Celeron N4020,DOS,15.6 inches,₹19490
MICROMAX,Canvas Laptab II LT777W,2 GB,32 GB SSD,Intel Atom Quad Core,Windows 10,11.6 inches,₹18999
MICROMAX,Canvas Laptab II LT777W,2 GB DDR3,32 GB SSD,Atom Quad-Core,Windows 10,11.6 inches,₹18899
MICROMAX,Lapbook,2 GB DDR3L,HDD Hard Disk,Intel Atom Quad Core (4th),Windows 10 Home,11.6 inches,₹10490
MICROMAX,Lapbook L1160,2GB,32GB,Intel Atom,Windows 10,11.6 inches,₹11100
MICROMAX,Laptab II LT777W,2GB,32GB,Intel Atom,Windows 10,11.6 inches,₹18899
RDP,ThinBook 1010,4 GB,64 GB SSD,Intel Celeron Quad Core,Windows 10,14.1 inches,₹19621
RDP,ThinBook 1010,4 GB DDR4,64 GB SSD,Celeron Quad Core,Windows 10,14.1 inches,₹19621
ULTIMUS,S151 NU14U2INC43VD-CS,4GB,128GB SSD,Celeron N4020,DOS,14.1 inches,₹17990
ULTIMUS,S151 NU14U2INC43VN-CS,4GB,128GB SSD,Celeron N4020,Win11,14.1 inches,₹19990
VENTURER,WT19803W97DK,2 GB DDR3,32 GB SSD Hard Disk,Intel Atom Quad Core (2nd Gen),Windows 10 Home,10.1 inches,₹12999
