Product_Name,Older Price,New Price,Discount,Rating
"(Renewed) Acer Aspire 3 AMD 3020e Dual core Processor 14 inches (35.5 cm) HD Display Laptop (4GB DDR4 RAM / 1TB HDD / Windows 11 Home/ Black /Narrow Bezel / 1.9 Kg, A314-22)",₹ 21880,₹ 19990,(8% off),4.0 out of 5 stars
"(Renewed) AVITA SATUS ULTIMUS S111 NU14A1INC43PN-SG 14.1 FHD (35.81cms) Laptop (Intel Celeron N4020/4GB/128GB SSD/FHD Display/Windows 11 Home/ Intel UHD Graphics), Space Grey",₹ 19490,₹ 15989,(17% off),4.0 out of 5 stars
"(Renewed) Dell Latitude 3340 Intel Core i3 4005u Processor 14.1 Inches Notebook Computer (8GB Ram and 256 GB SSD, Windows 10), 1.75kg",₹ 69990,₹ 17630,(74% off),4.1 out of 5 stars
"(Renewed) Dell Latitude 3480 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/1 TB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)",₹ 59999,₹ 17999,(70% off),3.5 out of 5 stars
"(Renewed) Dell Latitude E7440 4th Gen Intel Core i5 Thin & Light HD Laptop (4 GB RAM/500 GB HDD/14"" (35.6 cm)/Windows 10 Pro/MS Office/Wifi/Bluetooth/Webcam/Integrated Graphics)",₹ 59999,₹ 16949,(71% off),
"(Renewed) Dell Latitude Laptop E5420 Intel Core I5 - 2430M Processor, 4 Gb Ram & 256 Gb Ssd, Windows 10 Pro 14 Inches Notebook Computer",₹ 40000,₹ 15991,(60% off),3.2 out of 5 stars
"(Renewed) HP ChromeBook 11.6 inches HD Laptop (AMD A4/4GB DDR4 RAM/16GB eMMC SSD/Wifi/Webcam/Chrome OS/Bluetooth 4.2/AMD R4 Graphics/Thin and Light), 1.3Kg",₹ 89999,₹ 11999,(86% off),3.1 out of 5 stars
"(Renewed) HP ChromeBook AMD A4 11.6 inches HD Thin and Light Business Laptop (4 GB DDR4 RAM/16 GB eMMC SSD + 16GB microSD card/Wifi/Webcam/Chrome OS/Bluetooth 4.2/R4 Graphics, 1.3kg)",₹ 89999,₹ 11999,(86% off),3.5 out of 5 stars
"(Renewed) Lenovo IdeaPad D330 Intel Celeron N4020 10.1"" HD IPS Detachable 2-in-1 Laptop (4GB/128GB eMMC/Windows 10/1 Yr Warranty/Mineral Grey/1.1Kg), 82H0001YIN",₹ 21797,₹ 17349,(20% off),2.9 out of 5 stars
"(Renewed) Lenovo Intel 6th Gen Core i5 6300HQ 14-Inch (35.56 cms) 1920x1080 Laptop (8 GB/256 GB SSD/Windows 10/MS Office /Intel HD/Black/1.90 Kg), Thinkpad L460",₹ 90000,₹ 18698,(79% off),3.2 out of 5 stars
(Renewed) Lenovo ThinkPad 14 inch (35.56 cm) HD Laptop (Core i5 4th Gen/8 GB RAM/1 TB HDD/Windows 10 Pro/MS Office 19/Webcam/USB 3.0/Wifi/BT/Cardreader/Pan India Warranty/Integrated Graphics),₹ 89999,₹ 19999,(77% off),1.0 out of 5 stars
"(Renewed) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/512 GB SSD/12.5"" (31.8 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)",₹ 40000,₹ 18298,(54% off),3.7 out of 5 stars
"(Renewed) Lenovo ThinkPad 6th Gen Intel Core i3 Thin & Light HD Laptop (4 GB RAM/128 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Integrated Graphics)",₹ 40000,₹ 15998,(60% off),4.4 out of 5 stars
"(Renewed) Lenovo ThinkPad 6th Gen Intel Core i3 Thin & Light HD Laptop (4 GB RAM/256 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Integrated Graphics)",₹ 89999,₹ 16999,(81% off),3.3 out of 5 stars
"(Renewed) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/500 GB HDD/12.5"" (31.7 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 89999,₹ 16999,(81% off),
"(Renewed) Lenovo ThinkPad Core 2 Duo HD Business Laptop (4 GB RAM/320 GB HDD/14"" (35.6 cm)/Windows 7/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 89999,₹ 11999,(86% off),5.0 out of 5 stars
"(Renewed) Lenovo ThinkPad E470 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/500 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 89999,₹ 15999,(82% off),2.4 out of 5 stars
"(Renewed) Lenovo Thinkpad L450 14 inches Laptop (Intel Core I5 5th Gen/8GB/500GB/Windows 10 Pro/MS Office/Anti Glare Display/Webcam/Bluetooth/Wifi/Integrated Graphics), Black, 1.8kg",₹ 75000,₹ 19392,(74% off),3.7 out of 5 stars
"(Renewed) Lenovo Thinkpad T440 14 inches Robust Security & Manageability Laptop (Intel Core i5 4th Gen/8GB/500GB HDD/Windows 10/MS Office Pro 2019/Integrated Graphics), Black, 1.9kg",₹ 80000,₹ 16838,(78% off),3.2 out of 5 stars
"(Renewed) Lenovo ThinkPad T450 Intel Core i5-5300U 14 inches Business Laptop Computer, 8GB RAM, 256GB SSD, Windows 10, 1.1925Kg, 1.1925Kg",₹ 59999,₹ 18564,(69% off),4.1 out of 5 stars
"(Renewed)Lenovo ThinkPad L440 4th Gen Intel Core i3 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm)/Windows 10 Pro/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 89990,₹ 14999,(83% off),2.9 out of 5 stars
"ASUS New Chromebook Celeron Intel Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-BR0476 Chromebook 15.6 inches, Silver, 1.43 Kg",₹ 26990,₹ 21000,(22% off),3.3 out of 5 stars
"HP (Renewed) Probook 8440p-i5-4 GB-120 GB 14-inch Laptop (Core i5/4GB/120GB SSD/Windows 7/Integrated Graphics), Silver",₹ 69990,₹ 14990,(78% off),3.4 out of 5 stars
HP EliteBook 745 G3 14in Notebook Laptop AMD A10-8700B 1.8GHz 8GB 256GB SSD Windows 10 Professional (Renewed),₹ 29999,₹ 19799,(34% off),3.9 out of 5 stars
